benchmark,RevTerm result,RevTerm time,LoAT result,LoAT time,AProVE result,AProVE time,Ultimate result,Ultimate time,VeryMax result,VeryMax time
PastaB17.c,MAYBE,,MAYBE,,YES,2.12612,YES,6.20948,YES,0.0362181
PastaB2.c,MAYBE,,MAYBE,,YES,1.90978,YES,5.83721,YES,0.028655
PastaB3.c,MAYBE,,MAYBE,,YES,3.621,YES,5.64117,YES,0.0464991
PastaB4.c,MAYBE,,MAYBE,,YES,1.86331,YES,7.63344,YES,0.0284351
PastaB6.c,MAYBE,,MAYBE,,YES,1.99635,YES,5.23669,YES,0.030337
PastaB7.c,MAYBE,,MAYBE,,YES,2.01896,YES,5.49877,YES,0.055022
PastaC1.c,MAYBE,,MAYBE,,YES,3.33673,YES,6.10272,YES,0.0674361
PastaC10.c,NO,0.263,NO,2.66266,NO,9.14498,NO,4.67632,NO,4.2531
PastaC2.c,MAYBE,,MAYBE,,YES,2.1768,YES,5.9449,YES,0.073361
PastaC3.c,MAYBE,,MAYBE,,YES,2.26884,YES,6.68592,YES,0.0356229
PastaC7.c,MAYBE,,MAYBE,,YES,2.13632,YES,17.4404,YES,0.0293011
PastaC9.c,MAYBE,,MAYBE,,YES,2.34202,YES,6.44913,YES,0.0362971
Piecewise_true-termination.c,MAYBE,,MAYBE,,YES,14.6289,YES,7.191,YES,0.046744
PlusSwap.c,MAYBE,,MAYBE,,YES,2.00246,YES,7.32014,YES,4.2679
PodelskiRybalchenko-LICS2004-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,3.43694,YES,6.09513,YES,0.0678519
PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c,MAYBE,,MAYBE,,YES,21.6327,MAYBE,,YES,8.00041
PodelskiRybalchenko-TACAS2011-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,1.81381,YES,5.38446,YES,0.0270131
PodelskiRybalchenko-TACAS2011-Fig2_true-termination.c,MAYBE,,MAYBE,,YES,3.14506,YES,5.88477,YES,0.0349189
PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c,MAYBE,,MAYBE,,YES,2.3091,YES,6.01487,YES,0.036333
PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c,MAYBE,,MAYBE,,YES,2.39302,YES,45.5779,YES,0.044631
PodelskiRybalchenko-VMCAI2004-Ex2_true-termination.c,MAYBE,,MAYBE,,YES,2.03949,MAYBE,,MAYBE,
Pure2Phase_true-termination.c,MAYBE,,MAYBE,,YES,2.11356,YES,6.64434,YES,0.0327531
Pure3Phase_true-termination.c,MAYBE,,MAYBE,,YES,6.56902,MAYBE,,YES,9.04923
Rotation180_false-termination.c,NO,0.152,NO,1.90286,NO,3.92053,NO,4.59621,NO,4.15585
Sequence.c,MAYBE,,MAYBE,,YES,2.28593,YES,5.4831,YES,0.029504
Singapore_plus_false-termination.c,NO,0.269,NO,2.32653,NO,5.49744,NO,5.54727,NO,21.0579
Singapore_true-termination.c,MAYBE,,MAYBE,,MAYBE,,YES,6.21425,YES,0.15344
Singapore_v1_false-termination.c,NO,0.288,NO,2.21382,MAYBE,,NO,5.49524,NO,21.0527
Singapore_v2_false-termination.c,NO,0.257,NO,2.256,MAYBE,,NO,5.56306,NO,21.3315
Stockholm_true-termination.c,MAYBE,,MAYBE,,YES,5.89608,YES,8.11415,YES,0.052019
Sunset.c,NO,1.347,NO,3.4164,NO,11.6842,NO,9.09269,NO,25.1101
svcomp_a.01.c,MAYBE,,MAYBE,,YES,2.28039,YES,6.2143,YES,0.0373981
svcomp_a.04.c,MAYBE,,MAYBE,,YES,1.98679,YES,5.40074,YES,0.0289621
svcomp_a.05.c,MAYBE,,MAYBE,,YES,9.12659,YES,5.32893,YES,0.0299471
svcomp_a.06.c,MAYBE,,MAYBE,,YES,1.984,YES,7.19829,YES,0.0309011
svcomp_a.07.c,MAYBE,,MAYBE,,YES,2.03413,YES,5.64665,YES,0.0351909
svcomp_a.08.c,MAYBE,,MAYBE,,YES,2.02162,YES,5.33233,YES,0.029546
svcomp_a.09_assume.c,MAYBE,,MAYBE,,YES,1.99028,YES,5.6698,YES,0.0304291
svcomp_a.10.c,MAYBE,,MAYBE,,YES,2.62338,YES,6.41805,YES,0.080266
svcomp_b.01.c,MAYBE,,MAYBE,,YES,2.43284,YES,5.49345,YES,0.0301401
svcomp_b.02.c,MAYBE,,MAYBE,,YES,1.97643,YES,5.39442,YES,0.028591
svcomp_b.03_assume.c,MAYBE,,MAYBE,,YES,2.07765,YES,5.42854,YES,0.029461
svcomp_b.03-no-inv_assume.c,MAYBE,,MAYBE,,YES,3.38491,YES,5.69806,YES,0.0469891
svcomp_b.04.c,MAYBE,,MAYBE,,YES,1.97626,YES,9.0093,YES,0.030808
svcomp_b.05.c,MAYBE,,MAYBE,,YES,2.0451,YES,5.29143,YES,0.029966
svcomp_b.06.c,MAYBE,,MAYBE,,YES,2.20688,YES,5.32214,YES,0.0296849
svcomp_b.07.c,MAYBE,,MAYBE,,YES,2.22082,YES,5.6629,YES,0.0321881
svcomp_b.09_assume.c,MAYBE,,MAYBE,,YES,2.37097,YES,5.60075,YES,0.0365309
svcomp_b.09-no-inv_assume.c,MAYBE,,MAYBE,,YES,2.24088,YES,7.17172,YES,0.0673889
svcomp_b.10.c,MAYBE,,MAYBE,,YES,2.18673,YES,6.11377,YES,0.0358169
svcomp_b.11.c,MAYBE,,MAYBE,,YES,2.62695,YES,6.81823,YES,0.0406789
svcomp_b.12.c,MAYBE,,MAYBE,,YES,3.71859,YES,6.03962,YES,0.0353889
svcomp_b.13.c,MAYBE,,MAYBE,,YES,3.12053,YES,6.98918,YES,0.07026
svcomp_b.14.c,MAYBE,,MAYBE,,YES,2.21447,YES,6.51821,YES,0.0338109
svcomp_b.15.c,MAYBE,,MAYBE,,YES,2.11979,YES,7.05081,YES,0.0371381
svcomp_b.16.c,MAYBE,,MAYBE,,YES,2.2336,YES,5.96928,YES,0.0359961
svcomp_b.17.c,MAYBE,,MAYBE,,YES,2.44311,YES,7.13753,YES,0.0397491
svcomp_b.18.c,MAYBE,,MAYBE,,YES,2.86731,YES,6.40563,YES,0.0382291
svcomp_c.01_assume.c,MAYBE,,MAYBE,,YES,2.62587,YES,5.98014,YES,0.0494609
svcomp_c.01-no-inv.c,MAYBE,,MAYBE,,YES,3.49725,YES,6.354,YES,0.0818219
svcomp_c.02.c,MAYBE,,MAYBE,,YES,2.29368,YES,5.8084,YES,0.036158
svcomp_c.03.c,MAYBE,,MAYBE,,YES,2.52365,YES,8.33579,YES,0.0384549
svcomp_c.07.c,MAYBE,,MAYBE,,YES,2.02783,YES,17.5044,YES,0.0325631
svcomp_c.08.c,MAYBE,,MAYBE,,YES,2.19222,YES,5.96863,YES,0.035775
svcomp_easySum.c,MAYBE,,MAYBE,,YES,1.94888,YES,5.35631,YES,0.0286989
svcomp_ex1.c,MAYBE,,MAYBE,,YES,1.95678,YES,5.38107,YES,0.027656
svcomp_ex2.c,MAYBE,,MAYBE,,YES,2.93816,MAYBE,,MAYBE,
svcomp_ex3a.c,MAYBE,,MAYBE,,YES,1.97227,MAYBE,,MAYBE,
svcomp_ex3b.c,MAYBE,,MAYBE,,YES,1.97192,MAYBE,,MAYBE,
svcomp_fermat.c,MAYBE,,MAYBE,,YES,3.686,YES,21.4175,YES,4.16894
svcomp_flag.c,MAYBE,,MAYBE,,YES,2.47234,YES,6.05876,YES,0.0579329
svcomp_java_AG313.c,MAYBE,,MAYBE,,YES,2.16532,YES,5.95628,YES,0.0321481
svcomp_java_Break.c,MAYBE,,MAYBE,,YES,1.9415,YES,5.20899,YES,0.0282241
svcomp_java_Continue1.c,MAYBE,,MAYBE,,YES,2.00517,YES,5.19229,YES,0.0444419
svcomp_java_Nested.c,MAYBE,,MAYBE,,YES,2.25704,YES,7.39076,YES,0.542586
svcomp_java_Sequence.c,MAYBE,,MAYBE,,YES,2.1829,YES,5.67274,YES,0.0849999
Swingers.c,NO,0.15,NO,1.94638,NO,3.15133,MAYBE,,NO,4.8667
TelAviv-Amir-Minimum_true-termination.c,MAYBE,,MAYBE,,MAYBE,,YES,10.4938,YES,0.068449
Thun_true-termination.c,MAYBE,,MAYBE,,YES,2.36748,YES,5.45667,YES,1.26543
Toulouse-BranchesToLoop_true-termination.c,MAYBE,,MAYBE,,YES,6.85024,YES,7.54301,YES,0.0981341
Toulouse-MultiBranchesToLoop_true-termination.c,MAYBE,,MAYBE,,YES,5.63786,YES,8.0773,YES,0.12428
TrueDiv.c,NO,0.148,NO,2.06037,NO,2.98091,NO,5.35911,NO,8.39631
TwoFloatInterv.c,NO,3.635,NO,3.44284,NO,4.76944,NO,6.4378,NO,2.66957
UpAndDown.c,NO,2.307,MAYBE,,MAYBE,,NO,40.631,NO,5.75219
UpAndDownIneq.c,NO,0.52,MAYBE,,NO,34.5345,MAYBE,,NO,5.96471
Urban-WST2013-Fig1_false-termination.c,NO,0.145,NO,2.10384,NO,2.7375,NO,4.65287,NO,4.18449
Urban-WST2013-Fig2_true-termination.c,MAYBE,,MAYBE,,YES,2.20586,YES,7.02384,YES,4.14755
Urban-WST2013-Fig2-modified1000_true-termination.c,MAYBE,,MAYBE,,YES,2.20061,MAYBE,,YES,4.17854
UrbanMine-ESOP2014-Fig3_true-termination.c,MAYBE,,MAYBE,,YES,33.6276,YES,8.18284,YES,0.0992879
Velroyen_false-termination.c,NO,0.232,NO,3.50657,NO,3.27598,NO,7.85075,NO,10.1159
Waldkirch_true-termination.c,MAYBE,,MAYBE,,YES,1.91014,YES,5.17935,YES,0.0273249
WhileDecr.c,MAYBE,,MAYBE,,YES,1.86541,YES,5.13826,YES,0.0277099
WhileFalse_true-termination.c,MAYBE,,MAYBE,,YES,1.60408,YES,4.46577,YES,0.021887
WhileIncr.c,NO,0.143,NO,1.73471,NO,2.74213,NO,5.32613,NO,8.37006
WhileIncrPart.c,NO,0.186,NO,2.16145,NO,11.2928,NO,6.38838,NO,8.4761
WhileNested.c,NO,0.262,NO,2.16091,NO,3.28235,NO,6.01977,NO,13.5105
WhileNestedOffset.c,NO,0.164,NO,2.16667,NO,3.69521,NO,6.03505,NO,13.512
WhilePart.c,NO,0.186,NO,2.1822,NO,2.95552,NO,4.82263,NO,4.19224
WhileSingle.c,NO,0.17,NO,2.36822,NO,3.01709,NO,5.77835,NO,0.13366
WhileTrue_false-termination.c,NO,0.136,NO,1.60026,NO,2.08288,NO,4.9544,NO,0.0345589
WhileTrue.c,NO,0.145,NO,1.75871,NO,2.50628,NO,5.33775,NO,8.31141
,,,,,,,,,,
,,,,,,,,,,
NO,103,,96,,99,,97,,102,
YES,0,,0,,216,,209,,212,
MAYBE,232,,239,,20,,29,,21,
Unique NO,2,,1,,0,,0,,0,
Avg. time,,1.849893204,,2.552604479,,4.228016825,,7.420464346,,3.794857184
Std. dev.,,6.629147823,,0.9472753987,,4.084233858,,4.909244944,,7.390702943
Avg. time NO,,1.865911765,,2.554991263,,4.981971919,,7.004020412,,10.88071019
Std. dev. NO,,6.659881,,0.952010529,,3.901698577,,7.056511688,,9.488401238
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.263,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.152,,,,,,,,
,,,,,,,,,,
,,0.269,,,,,,,,
,,,,,,,,,,
,,0.288,,,,,,,,
,,0.257,,,,,,,,
,,,,,,,,,,
,,1.347,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.15,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.148,,,,,,,,
,,3.635,,,,,,,,
,,2.307,,,,,,,,
,,0.52,,,,,,,,
,,0.145,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.232,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.143,,,,,,,,
,,0.186,,,,,,,,
,,0.262,,,,,,,,
,,0.164,,,,,,,,
,,0.186,,,,,,,,
,,0.17,,,,,,,,
,,0.136,,,,,,,,
,,0.145,,,,,,,,
,,0.216,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.183,,,,,,,,
,,,,,,,,,,
,,6.075,,,,,,,,
,,2.291,,,,,,,,
,,,,,,,,,,
,,0.191,,,,,,,,
,,,,,,,,,,
,,0.192,,,,,,,,
,,0.167,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.246,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.167,,,,,,,,
,,0.597,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.161,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.177,,,,,,,,
,,1.252,,,,,,,,
,,0.655,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,1.243,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.161,,,,,,,,
,,,,,,,,,,
,,0.256,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.272,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,3.496,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.154,,,,,,,,
,,3.977,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,3,,,,,,,,
,,0.337,,,,,,,,
,,0.208,,,,,,,,
,,0.196,,,,,,,,
,,0.175,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.154,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,8.13,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.162,,,,,,,,
,,6.902,,,,,,,,
,,0.267,,,,,,,,
,,0.139,,,,,,,,
,,0.171,,,,,,,,
,,0.166,,,,,,,,
,,0.141,,,,,,,,
,,0.132,,,,,,,,
,,0.268,,,,,,,,
,,0.17,,,,,,,,
,,0.322,,,,,,,,
,,,,,,,,,,
,,3.138,,,,,,,,
,,57.586,,,,,,,,
,,7.771,,,,,,,,
,,0.162,,,,,,,,
,,2.808,,,,,,,,
,,,,,,,,,,
,,28.315,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.38,,,,,,,,
,,3.432,,,,,,,,
,,1.75,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.56,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,19.877,,,,,,,,
,,0.265,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.148,,,,,,,,
,,0.138,,,,,,,,
,,0.155,,,,,,,,
,,0.139,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.157,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,1.427,,,,,,,,
,,0.23,,,,,,,,
,,1.283,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,1.889,,,,,,,,
,,,,,,,,,,
,,0.14,,,,,,,,
,,0.205,,,,,,,,
,,0.158,,,,,,,,
,,0.17,,,,,,,,
,,,,,,,,,,
,,0.143,,,,,,,,
,,0.148,,,,,,,,
,,0.189,,,,,,,,
,,0.141,,,,,,,,
,,0.143,,,,,,,,
,,0.147,,,,,,,,
,,0.144,,,,,,,,
,,0.14,,,,,,,,
,,1.012,,,,,,,,
,,0.147,,,,,,,,
,,0.14,,,,,,,,
,,0.185,,,,,,,,
,,0.157,,,,,,,,
,,0.197,,,,,,,,
,,0.185,,,,,,,,
,,0.224,,,,,,,,
,,0.358,,,,,,,,
,,0.182,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.263,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.152,,,,,,,,
,,,,,,,,,,
,,0.269,,,,,,,,
,,,,,,,,,,
,,0.288,,,,,,,,
,,0.257,,,,,,,,
,,,,,,,,,,
,,1.347,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.15,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.148,,,,,,,,
,,3.635,,,,,,,,
,,2.307,,,,,,,,
,,0.52,,,,,,,,
,,0.145,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.232,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0.143,,,,,,,,
,,0.186,,,,,,,,
,,0.262,,,,,,,,
,,0.164,,,,,,,,
,,0.186,,,,,,,,
,,0.17,,,,,,,,
,,0.136,,,,,,,,
,,0.145,,,,,,,,
